Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date
MN123677,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Khoria,Guinea,Mastomys natalensis,blood,2013-11-26
MN123678,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Safrani,Guinea,Mastomys natalensis,blood,2013-12-03
MN123679,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Silimi,Guinea,Mastomys natalensis,blood,2013-12-06
MN123680,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2013-11-08
MN123681,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2013-11-08
MN123682,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2013-11-09
MN123683,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2013-11-09
MN123684,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2013-11-10
MN123685,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2014-04-03
MN123686,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2014-04-03
MN123687,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2014-04-03
MN123688,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2014-04-04
MN123689,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Sokourala,Guinea,Mastomys natalensis,blood,2014-04-05
MN123690,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2014-04-08
MN123691,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Sonkonia,Guinea,Mastomys natalensis,blood,2014-04-09
MN123692,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2013-11-20
MN123693,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2013-11-20
MN123694,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2013-11-21
MN123695,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2013-11-21
MN123696,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Guinea: Yarawalia,Guinea,Mastomys natalensis,blood,2013-11-21
MN123697,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Nigeria: Eguare-Egoro,Nigeria,Mastomys natalensis,blood,2011-03-23
MN123698,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Nigeria: Eguare-Egoro,Nigeria,Mastomys natalensis,blood,2011-10-17
MN123699,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Nigeria: Eguare-Egoro,Nigeria,Mastomys natalensis,blood,2011-10-19
MN123700,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Nigeria: Eguare-Egoro,Nigeria,Mastomys natalensis,blood,2011-03-22
MN123701,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2012-03-26
MN123702,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2012-10-18
MN123703,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2012-10-18
MN123704,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2012-10-18
MN123705,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2012-10-18
MN123706,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2012-10-18
MN123707,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2012-10-18
MN123708,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2012-10-18
MN123709,Mammarenavirus lassaense,"Olayemi,A., Adesina,A.S., Strecker,T., Magassouba,N., Fichet-Calvet,E., Adesina,A.","Bernhard-Nocht Institute of Tropical Medicine, Virology",Germany,2020-02-19,,Mammarenavirus lassaense,partial,Nigeria: Ekpoma,Nigeria,Mastomys natalensis,blood,2012-10-21
MK978784,Mammarenavirus lassaense,"Mateo,M., Picard,C., Sylla,Y., Kamo,E., Odegue,D., Journeaux,A., Kan,S.K., Money,M., Coulibaly,D.N., Koffi,E., Meite,S., Akran,V., Kadjo,H., Adjogoua,E., Kakou,S.N., Baize,S., Dosso,M.","Institut Pasteur, Virologie",France,2019-12-23,Bangolo-CIV-2015,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Homo sapiens,,2015-01
MK978785,Mammarenavirus lassaense,"Mateo,M., Picard,C., Sylla,Y., Kamo,E., Odegue,D., Journeaux,A., Kan,S.K., Money,M., Coulibaly,D.N., Koffi,E., Meite,S., Akran,V., Kadjo,H., Adjogoua,E., Kakou,S.N., Baize,S., Dosso,M.","Institut Pasteur, Virologie",France,2019-12-23,Bangolo-CIV-2015,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Homo sapiens,,2015-01
MK656390,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3604,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-28
MK656391,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3609,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-28
MK656392,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3625,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-29
MK656393,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3629,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-29
MK656394,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3630,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-29
MK656395,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_R124,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2013-08-20
MK656396,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_R132,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2013-08-22
MK656397,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_CIV139,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2013-08-22
MK656398,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3706,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-09-07
MK656399,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3713,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-09-07
MK656400,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3715,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-09-07
MK656401,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3523,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-24
MK656402,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3711,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-09-07
MK656403,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3604,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-28
MK656404,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3609,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-28
MK656405,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3625,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-29
MK656406,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3629,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-29
MK656407,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3630,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-29
MK656408,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_R124,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2013-08-20
MK656409,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_R132,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2013-08-22
MK656410,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_CIV139,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2013-08-22
MK656411,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3706,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-09-07
MK656412,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3713,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-09-07
MK656413,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3715,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-09-07
MK656414,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3604,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-28
MK656415,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3609,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-28
MK656416,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3625,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-29
MK656417,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3629,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-29
MK656418,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_3630,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2015-08-29
MK656419,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_R124,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2013-08-20
MK656420,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_R132,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2013-08-22
MK656421,Mammarenavirus lassaense,"Escalera-Zamudio,M., Kouadio,L., Matranga,C.B., du Plessis,L., Theze,J., Pybus,O.G., Calvignac-Spencer,S., Leendertz,F.H.","The University of Oxford, Zoology",United Kingdom,2019-09-30,LASV_CIV139,Mammarenavirus lassaense,partial,Cote d'Ivoire,Cote d'Ivoire,Mastomys,tissue,2013-08-22
